,mean
A3_98,0.0011651631091421668
A3_99,0.0006166854611357229
D1_0,0.009929520741039066
D1_1,0.0351851013169553
D1_2,0.05785818035038261
D1_3,0.07118191132903745
D1_4,0.07774452099879178
D1_5,0.07750731859041482
D1_6,0.07708469834877164
D1_7,0.07579090500604109
D1_8,0.07607065402738623
D1_9,0.07236186984293193
D1_10,0.06902072198147402
D1_11,0.06250366730567862
D1_12,0.055526966367297634
D1_13,0.04705577933145389
D1_14,0.04072929154248893
D1_15,0.031390737462746676
D1_16,0.021957470801449858
D1_17,0.014805074506645186
D1_18,0.010598872331856624
D1_19,0.006252597664115988
D1_20,0.0039213854208618604
D1_21,0.0022242448650825614
D1_22,0.0013319371727748691
D1_23,0.0007270237615787354
D1_24,0.0005936367297623841
D1_25,0.00044252919855014095
D1_26,0.0001292790978654853
D1_27,3.8179621425694724e-05
D1_28,3.431333064840918e-05
D1_29,1.6109544905356425e-06
D2_0,0.008279774627431333
D2_1,0.010931868258565847
D2_2,0.012419264331790174
D2_3,0.01326140176917036
D2_4,0.013902077019531616
D2_5,0.014415285229814338
D2_6,0.014530553393006844
D2_7,0.01484373789071337
D2_8,0.015066214904830448
D2_9,0.01517431720346754
D2_10,0.015242575810110352
D2_11,0.015433548230716269
D2_12,0.015374826000131698
D2_13,0.01551834124210431
D2_14,0.015508386971327831
D2_15,0.015452203055297181
D2_16,0.015238283063609666
D2_17,0.015275137221790212
D2_18,0.01527244003989291
D2_19,0.015239544304237216
D2_20,0.01524978444436025
D2_21,0.015301672859502256
D2_22,0.015374259992487677
D2_23,0.015390135369783689
D2_24,0.015184706675101732
D2_25,0.015147324500550986
D2_26,0.015028627083088521
D2_27,0.014726938977612684
D2_28,0.014518493945173096
D2_29,0.014511040258670158
D2_30,0.014364797330157388
D2_31,0.014254520439407692
D2_32,0.014330865562651996
D2_33,0.014064989894494765
D2_34,0.013841653781120618
D2_35,0.013633106939673985
D2_36,0.013506375646110793
D2_37,0.013498110495133709
D2_38,0.013293304772333224
D2_39,0.013065060069544141
D2_40,0.013045858242763993
D2_41,0.012719056829760371
D2_42,0.012543298280935119
D2_43,0.012372820141035279
D2_44,0.012300543598729157
D2_45,0.01213907513940878
D2_46,0.012100151263947643
D2_47,0.011891986266273863
D2_48,0.011649894177029883
D2_49,0.011577287562361418
D2_50,0.01127010490159114
D2_51,0.010968382599338583
D2_52,0.010672463462904229
D2_53,0.010397650266948893
D2_54,0.010040048983768868
D2_55,0.009841779928409585
D2_56,0.009549788126722311
D2_57,0.00940764521158965
D2_58,0.009170506111561096
D2_59,0.008865733234181593
D2_60,0.008642407506010471
D2_61,0.008349247185357631
D2_62,0.00811673350676049
D2_63,0.008011590108756142
D2_64,0.007784483250909585
D2_65,0.0076696449652246075
D2_66,0.007380806649513008
D2_67,0.007231489774376561
D2_68,0.007096563121156626
D2_69,0.00691184456763967
D2_70,0.00675439349547624
D2_71,0.006486605822731455
D2_72,0.0063514411861243245
D2_73,0.006085804718081393
D2_74,0.00589293201414261
D2_75,0.005647375108080144
D2_76,0.005466487066037897
D2_77,0.005342256802335079
D2_78,0.0050756216822479255
D2_79,0.004849439792466049
D2_80,0.0046900595908211445
D2_81,0.004489617117471849
D2_82,0.004324526655218284
D2_83,0.004249213210670036
D2_84,0.00404491850103234
D2_85,0.0039446892071749095
D2_86,0.0038141970167461137
D2_87,0.0036677105195157067
D2_88,0.003707505535220862
D2_89,0.003489660056934958
D2_90,0.003373963998927829
D2_91,0.003182069077383004
D2_92,0.0031031139988234395
D2_93,0.0030192834861686667
D2_94,0.002818071844601329
D2_95,0.0027451704147625853
D2_96,0.002548494308345187
D2_97,0.0023681248350294
D2_98,0.002172111697329037
D2_99,0.0019107072999366892
D3_0,0.008949512686266613
D3_1,0.015503753523962948
D3_2,0.022347531212243258
D3_3,0.02780718485702779
D3_4,0.031947559403946835
D3_5,0.03508648006443818
D3_6,0.0373363914619412
D3_7,0.03879184051550544
D3_8,0.039656218284333467
D3_9,0.04010538058799839
D3_10,0.04027586387434554
D3_11,0.0400047080144986
D3_12,0.039309947643979055
D3_13,0.03838171163914619
D3_14,0.037249162303664915
D3_15,0.03589749496576721
D3_16,0.0343568344744261
D3_17,0.032671478050745065
D3_18,0.031015481272654046
D3_19,0.029453801852597668
D3_20,0.027822863471606927
D3_21,0.026286387434554977
D3_22,0.024744309303262182
D3_23,0.02331257752718486
D3_24,0.0217834716069271
D3_25,0.020191562625855818
D3_26,0.01876451872734595
D3_27,0.017280201369311316
D3_28,0.015949359645590012
D3_29,0.014750124848973017
D3_30,0.013670829641562627
D3_31,0.012606532420459123
D3_32,0.0115945871929118
D3_33,0.010577345952476844
D3_34,0.009681365283930729
D3_35,0.008673238018525977
D3_36,0.007847760773258156
D3_37,0.006941365283930729
D3_38,0.006190418848167538
D3_39,0.005565420861860653
D3_40,0.004965964559001209
D3_41,0.004371123640757149
D3_42,0.0038644744260974626
D3_43,0.003458920660491341
D3_44,0.00302864679822795
D3_45,0.0026114941602899716
D3_46,0.0023086145791381394
D3_47,0.0021280587998389047
D3_48,0.0018794240837696334
D3_49,0.0016442811115585983
D3_50,0.0014319895287958114
D3_51,0.0012525734997986307
D3_52,0.0010417398308497786
D3_53,0.0008914337494965766
D3_54,0.0007705879983890455
D3_55,0.0007210914216673379
D3_56,0.0005570237615787353
D3_57,0.0004544824808699155
D3_58,0.0004081272654047523
D3_59,0.00033117196939186464
D3_60,0.00028429722110350387
D3_61,0.00020207007652033832
D3_62,0.00015912202980265808
D3_63,0.00013262182843334675
D3_64,0.00016085783326621024
D3_65,0.00013491743858236004
D3_66,9.613773660894081e-05
D3_67,5.662102295610149e-05
D3_68,3.9859041482078134e-05
D3_69,2.7768828030608133e-05
D3_70,1.765606121627064e-05
D3_71,1.2271445831655256e-05
D3_72,1.1594844945630284e-05
D3_73,1.354409987917841e-05
D3_74,1.7378171566653244e-05
D3_75,1.99073701167942e-05
D3_76,2.2734595247684252e-05
D3_77,2.0092629883205798e-05
D3_78,1.445831655255739e-05
D3_79,1.0696737817156665e-05
D3_80,7.21304873137334e-06
D3_81,4.228755537656062e-06
D3_82,4.422070076520338e-06
D3_83,4.893274265002014e-06
D3_84,4.893274265002014e-06
D3_85,6.30688683044704e-06
D3_86,4.470398711236407e-06
D3_87,3.040676600886025e-06
D3_88,1.4216673378977044e-06
D3_89,4.752315747080145e-07
D3_90,2.2150624244865083e-07
D3_91,4.027386226339106e-09
D3_92,0.0
D3_93,0.0
D3_94,0.0
D3_95,0.0
D3_96,0.0
D3_97,0.0
D3_98,0.0
D3_99,0.0
D4_0,0.030968509867096258
D4_1,0.056620189287152636
D4_2,0.07637093435360451
D4_3,0.08483407974224728
D4_4,0.08657082158679018
D4_5,0.08355675795408779
D4_6,0.07799044703987112
D4_7,0.07107797019734192
D4_8,0.06369507047925897
D4_9,0.05566637937978252
D4_10,0.048361957309706
D4_11,0.04150411196133709
D4_12,0.035518401127668145
D4_13,0.030328445428916634
D4_14,0.025798171566653243
D4_15,0.021962472815142974
D4_16,0.018714534836890857
D4_17,0.015720849778493758
D4_18,0.013150632299637534
D4_19,0.011004055577929925
D4_20,0.009170918244059606
D4_21,0.007604937575513492
D4_22,0.006352472815142973
D4_23,0.005252259363672977
D4_24,0.004323632702376158
D4_25,0.003567164720096657
D4_26,0.002935372533225937
D4_27,0.00236914216673379
D4_28,0.0018932823197744663
D4_29,0.0015482480869915423
D4_30,0.0012453000402738621
D4_31,0.00099897704389851
D4_32,0.000733290374546919
D4_33,0.0005670922271445831
D4_34,0.00043350785340314136
D4_35,0.00033375755134917444
D4_36,0.0002561296818364881
D4_37,0.00021932742650020132
D4_38,0.00016555376560612164
D4_39,0.00012681031010873946
D4_40,8.59846959323399e-05
D4_41,6.251711639146195e-05
D4_42,5.411598872331856e-05
D4_43,5.495368505839711e-05
D4_44,4.561417639951671e-05
D4_45,2.5650422875553764e-05
D4_46,2.0982682239226742e-05
D4_47,1.9633507853403143e-05
D4_48,1.6472009665726946e-05
D4_49,2.4724124043495774e-05
D4_50,3.250906161900927e-05
D4_51,2.418848167539267e-05
D4_52,9.959726137736609e-06
D4_53,2.923882400322191e-06
D4_54,1.3572291582762789e-06
