,std
D2_45,0.007036190412883028
D2_46,0.007160715116720965
D2_47,0.006841337411696199
D2_48,0.006561243362406704
D2_49,0.007570092953118832
D2_50,0.006407632203430206
D2_51,0.006581347633267812
D2_52,0.006227229699443854
D2_53,0.006329803940442744
D2_54,0.005883648446557408
D2_55,0.006264428017800437
D2_56,0.0058599374422229145
D2_57,0.006053242180126274
D2_58,0.00615883902016709
D2_59,0.006041462304925833
D2_60,0.005969168727947662
D2_61,0.005433926392896143
D2_62,0.005511208087764279
D2_63,0.005417552183216367
D2_64,0.005314654389405744
D2_65,0.005679888168861926
D2_66,0.005196453324539173
D2_67,0.005344216441520393
D2_68,0.005805056762632944
D2_69,0.005742870795217249
D2_70,0.005807469497915057
D2_71,0.0055355593974759495
D2_72,0.00632411660275269
D2_73,0.0054126712784799665
D2_74,0.005327325465616588
D2_75,0.005233115159011502
D2_76,0.005285565870278328
D2_77,0.0068548823293144295
D2_78,0.005170073022054467
D2_79,0.004648957330178272
D2_80,0.004639839531335882
D2_81,0.004624477881152558
D2_82,0.004719456519745806
D2_83,0.0049060338862275486
D2_84,0.004808270174441526
D2_85,0.004846773529091794
D2_86,0.004895977241287864
D2_87,0.004891485074485245
D2_88,0.006074391577834846
D2_89,0.005355797369015867
D2_90,0.005562228951461785
D2_91,0.005346292010711723
D2_92,0.0056016516611327085
D2_93,0.006216839385218403
D2_94,0.005462755098325641
D2_95,0.00595760420056846
D2_96,0.006281800706061485
D2_97,0.006330689264433415
D2_98,0.006321030272766628
D2_99,0.005483650500749121
D3_0,0.03201841512403348
D3_1,0.03159603779651528
D3_2,0.03203975057500092
D3_3,0.03200013759930976
D3_4,0.029607421128873976
D3_5,0.027361337345236034
D3_6,0.025302548371586887
D3_7,0.023482430139519013
D3_8,0.021366791631057577
D3_9,0.019955080671531008
D3_10,0.018891787404969086
D3_11,0.01782721875986411
D3_12,0.01712942699495053
D3_13,0.01607252331061678
D3_14,0.015477658779556116
D3_15,0.014625517339950591
D3_16,0.01405857635700446
D3_17,0.013699022305167157
D3_18,0.013294870314222324
D3_19,0.013166549650460078
D3_20,0.013010802967227706
D3_21,0.01285948842937795
D3_22,0.012755819077685648
D3_23,0.012842223890965433
D3_24,0.012862723040899736
D3_25,0.01268592080849762
D3_26,0.012751972556010708
D3_27,0.012463920590182304
D3_28,0.012269206080313068
D3_29,0.012150433683748973
D3_30,0.011952303731949793
D3_31,0.011728294372913721
D3_32,0.011323746665226323
D3_33,0.010925293178094923
D3_34,0.010662272705915622
D3_35,0.00993389504758383
D3_36,0.009620749063889052
D3_37,0.008888119424851923
D3_38,0.008370793604061932
D3_39,0.008183803737141901
D3_40,0.00801129682253501
D3_41,0.0074662063684496505
D3_42,0.007062288876113187
D3_43,0.006987303603451408
D3_44,0.0063605245747447225
D3_45,0.00597321955700396
D3_46,0.0057663918766977275
D3_47,0.006085581029939888
D3_48,0.005670543047312681
D3_49,0.005378053156874938
D3_50,0.005164662329224482
D3_51,0.004778393632933096
D3_52,0.003940701919867228
D3_53,0.00366221422257455
D3_54,0.003632772638539447
D3_55,0.003858361899046774
D3_56,0.0029789193743434664
D3_57,0.0026754821242337325
D3_58,0.0029779367977219536
D3_59,0.0029192857908112283
D3_60,0.0027354335958956716
D3_61,0.002051414535243821
D3_62,0.0015994448430039195
D3_63,0.0015988271829555734
D3_64,0.0029671844551663997
D3_65,0.0028059036313793457
D3_66,0.0017990093590669585
D3_67,0.0011240617092408884
D3_68,0.0009476859833678691
D3_69,0.0006789173609212168
D3_70,0.0004210333008223952
D3_71,0.00029869241564556997
D3_72,0.0002945517117315238
D3_73,0.00038523934391955733
D3_74,0.000562676288749929
D3_75,0.0007407319590045404
D3_76,0.0009882159696231177
D3_77,0.0009367516951649945
D3_78,0.0006952059696405933
D3_79,0.0005238236099227298
D3_80,0.00035642379091998285
D3_81,0.00020991613964548855
D3_82,0.00021894962577344938
D3_83,0.0002428286890942919
D3_84,0.00024383043764012407
D3_85,0.0003142703418472711
D3_86,0.00022275867142431085
D3_87,0.0001515160332660854
D3_88,7.084127118268627e-05
D3_89,2.368065155681865e-05
D3_90,1.1037591827330723e-05
D3_91,2.0068348776964952e-07
D3_92,0.0
D3_93,0.0
D3_94,0.0
D3_95,0.0
D3_96,0.0
D3_97,0.0
D3_98,0.0
D3_99,0.0
D4_0,0.07316390679762408
D4_1,0.07515083149761452
D4_2,0.06834282656609125
D4_3,0.05706840554343558
D4_4,0.04674156482879693
D4_5,0.038894816101655495
D4_6,0.03444028829990268
D4_7,0.03144045514764591
D4_8,0.02962046436250161
D4_9,0.02764171769466312
D4_10,0.026355087575857798
D4_11,0.02520437507361131
D4_12,0.024229454984806994
D4_13,0.023273065750857518
D4_14,0.022050370030743532
D4_15,0.020688405954581063
D4_16,0.019365473339691984
D4_17,0.017843477751557663
